"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"16:39:54 2017-February-14","36.49","FAIR","19.98365108","105.6034476","19.98279424","105.6030389","true","5.29","104.05","HARD-MEDIUM"
"16:40:06 2017-February-14","32.63","FAIR","19.98279424","105.6030389","19.98190169","105.60266675","true","4.92","106.21","HARD-MEDIUM"
"16:40:23 2017-February-14","26.17","POOR","19.98190169","105.60266675","19.98131429","105.60190869","true","6.38","102.58","HARD-MEDIUM"
"16:40:34 2017-February-14","33.39","FAIR","19.98131429","105.60190869","19.98158528","105.60096111","true","4.9","103.61","HARD-MEDIUM"
"16:40:47 2017-February-14","29.19","FAIR","19.98158528","105.60096111","19.98193493","105.59998529","true","5.35","109.22","HARD-MEDIUM"
"16:41:40 2017-February-14","26.97","FAIR","19.98265166","105.59837186","19.98356081","105.59833841","true","5.43","100.71","HARD-MEDIUM"
"16:41:59 2017-February-14","21.26","GOOD","19.98356081","105.59833841","19.98412575","105.59758295","true","3.94","100.81","HARD-MEDIUM"
"16:42:14 2017-February-14","24.42","FAIR","19.98412575","105.59758295","19.98447716","105.59667905","true","5.51","102.29","HARD-MEDIUM"
"16:42:24 2017-February-14","35.36","FAIR","19.98447716","105.59667905","19.98455482","105.59569107","true","5.57","103.75","HARD-MEDIUM"
"16:42:34 2017-February-14","37.21","POOR","19.98455482","105.59569107","19.98458692","105.59472003","true","6.54","101.69","HARD-MEDIUM"
